animal_1,animal_2,chosen_1,chosen_2,win_rate
sheep,pig,"[1, 2, 3, 4]","[6, 7, 11, 12]",0.31
sheep,pig,"[1, 2, 3, 4]","[7, 8, 12, 13]",0.47
sheep,pig,"[1, 2, 3, 4]","[8, 9, 13, 14]",0.42
sheep,pig,"[1, 2, 3, 4]","[9, 10, 14, 15]",0.36
sheep,pig,"[1, 2, 3, 4]","[11, 12, 16, 17]",0.31
sheep,pig,"[1, 2, 3, 4]","[12, 13, 17, 18]",0.44
sheep,pig,"[1, 2, 3, 4]","[13, 14, 18, 19]",0.45
sheep,pig,"[1, 2, 3, 4]","[14, 15, 19, 20]",0.25
sheep,pig,"[1, 2, 3, 4]","[16, 17, 21, 22]",0.2
sheep,pig,"[1, 2, 3, 4]","[17, 18, 22, 23]",0.27
sheep,pig,"[1, 2, 3, 4]","[18, 19, 23, 24]",0.26
sheep,pig,"[1, 2, 3, 4]","[19, 20, 24, 25]",0.19
sheep,pig,"[2, 3, 4, 5]","[6, 7, 11, 12]",0.27
sheep,pig,"[2, 3, 4, 5]","[7, 8, 12, 13]",0.44
sheep,pig,"[2, 3, 4, 5]","[8, 9, 13, 14]",0.45
sheep,pig,"[2, 3, 4, 5]","[9, 10, 14, 15]",0.23
sheep,pig,"[2, 3, 4, 5]","[11, 12, 16, 17]",0.24
sheep,pig,"[2, 3, 4, 5]","[12, 13, 17, 18]",0.33
sheep,pig,"[2, 3, 4, 5]","[13, 14, 18, 19]",0.4
sheep,pig,"[2, 3, 4, 5]","[14, 15, 19, 20]",0.27
sheep,pig,"[2, 3, 4, 5]","[16, 17, 21, 22]",0.22
sheep,pig,"[2, 3, 4, 5]","[17, 18, 22, 23]",0.31
sheep,pig,"[2, 3, 4, 5]","[18, 19, 23, 24]",0.28
sheep,pig,"[2, 3, 4, 5]","[19, 20, 24, 25]",0.21
sheep,pig,"[6, 7, 8, 9]","[11, 12, 16, 17]",0.44
sheep,pig,"[6, 7, 8, 9]","[12, 13, 17, 18]",0.6
sheep,pig,"[6, 7, 8, 9]","[13, 14, 18, 19]",0.61
