animal_1,animal_2,chosen_1,chosen_2,win_rate
moonkey,lunar tick,"[1, 6, 8, 13]","[2, 12, 16, 18]",0.89
moonkey,lunar tick,"[1, 6, 8, 13]","[4, 14, 18, 20]",0.9
moonkey,lunar tick,"[1, 6, 8, 13]","[7, 17, 21, 23]",0.83
moonkey,lunar tick,"[1, 6, 8, 13]","[9, 19, 23, 25]",0.85
moonkey,lunar tick,"[2, 7, 9, 14]","[3, 13, 17, 19]",1.0
moonkey,lunar tick,"[2, 7, 9, 14]","[8, 18, 22, 24]",1.0
moonkey,lunar tick,"[3, 8, 10, 15]","[2, 12, 16, 18]",0.86
moonkey,lunar tick,"[3, 8, 10, 15]","[4, 14, 18, 20]",0.89
moonkey,lunar tick,"[3, 8, 10, 15]","[7, 17, 21, 23]",0.9
moonkey,lunar tick,"[3, 8, 10, 15]","[9, 19, 23, 25]",0.93
moonkey,lunar tick,"[6, 11, 13, 18]","[7, 17, 21, 23]",1.0
moonkey,lunar tick,"[6, 11, 13, 18]","[9, 19, 23, 25]",1.0
moonkey,lunar tick,"[7, 12, 14, 19]","[8, 18, 22, 24]",1.0
moonkey,lunar tick,"[8, 13, 15, 20]","[2, 12, 16, 18]",1.0
moonkey,lunar tick,"[8, 13, 15, 20]","[7, 17, 21, 23]",1.0
moonkey,lunar tick,"[8, 13, 15, 20]","[9, 19, 23, 25]",1.0
moonkey,lunar tick,"[11, 16, 18, 23]","[3, 13, 17, 19]",1.0
moonkey,lunar tick,"[12, 17, 19, 24]","[4, 14, 18, 20]",1.0
moonkey,lunar tick,"[13, 18, 20, 25]","[7, 17, 21, 23]",1.0
pairing average win rate,0.9500000000000001, , , 
moonkey,tribble,"[1, 6, 8, 13]","[12, 16, 17, 18]",0.77
moonkey,tribble,"[1, 6, 8, 13]","[14, 18, 19, 20]",0.79
moonkey,tribble,"[1, 6, 8, 13]","[17, 21, 22, 23]",0.89
moonkey,tribble,"[1, 6, 8, 13]","[18, 22, 23, 24]",0.95
moonkey,tribble,"[1, 6, 8, 13]","[19, 23, 24, 25]",0.86
moonkey,tribble,"[2, 7, 9, 14]","[12, 16, 17, 18]",0.61
moonkey,tribble,"[2, 7, 9, 14]","[13, 17, 18, 19]",0.53
moonkey,tribble,"[2, 7, 9, 14]","[17, 21, 22, 23]",0.78
moonkey,tribble,"[2, 7, 9, 14]","[18, 22, 23, 24]",0.73
moonkey,tribble,"[2, 7, 9, 14]","[19, 23, 24, 25]",0.59
moonkey,tribble,"[3, 8, 10, 15]","[7, 11, 12, 13]",1.0
moonkey,tribble,"[3, 8, 10, 15]","[12, 16, 17, 18]",0.78
moonkey,tribble,"[3, 8, 10, 15]","[13, 17, 18, 19]",1.0
moonkey,tribble,"[3, 8, 10, 15]","[14, 18, 19, 20]",0.79
moonkey,tribble,"[3, 8, 10, 15]","[17, 21, 22, 23]",0.85
moonkey,tribble,"[3, 8, 10, 15]","[18, 22, 23, 24]",0.87
moonkey,tribble,"[3, 8, 10, 15]","[19, 23, 24, 25]",0.95
moonkey,tribble,"[6, 11, 13, 18]","[3, 7, 8, 9]",1.0
moonkey,tribble,"[6, 11, 13, 18]","[4, 8, 9, 10]",1.0
moonkey,tribble,"[6, 11, 13, 18]","[17, 21, 22, 23]",0.6
moonkey,tribble,"[6, 11, 13, 18]","[19, 23, 24, 25]",0.45
moonkey,tribble,"[7, 12, 14, 19]","[4, 8, 9, 10]",1.0
moonkey,tribble,"[7, 12, 14, 19]","[17, 21, 22, 23]",0.67
moonkey,tribble,"[7, 12, 14, 19]","[18, 22, 23, 24]",0.61
moonkey,tribble,"[8, 13, 15, 20]","[12, 16, 17, 18]",1.0
moonkey,tribble,"[8, 13, 15, 20]","[17, 21, 22, 23]",1.0
moonkey,tribble,"[8, 13, 15, 20]","[18, 22, 23, 24]",1.0
moonkey,tribble,"[8, 13, 15, 20]","[19, 23, 24, 25]",1.0
moonkey,tribble,"[11, 16, 18, 23]","[2, 6, 7, 8]",1.0
